current_path,proposed_new_path,category,size_mb,reason
C:\Users\Monster\OneDrive\Masaüstü\proje2\.gitignore,reviewer_package/.gitignore,final_output,0.0001,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\analiz_verisi_2025.csv,reviewer_package/data/processed/analiz_verisi_2025.csv,final_data,1.2554,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\xgboost_train_2022_2024.csv,reviewer_package/data/processed/xgboost_train_2022_2024.csv,final_data,8.904,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\forecast_2026_generation.py,reviewer_package/src/04_forecast_2026/forecast_2026_generation.py,final_code,0.0407,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\actual_vs_forecast_2025.png,reviewer_package/outputs/figures/actual_vs_forecast_2025.png,final_figure,0.4579,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\feature_importance_plot.png,reviewer_package/outputs/figures/feature_importance_plot.png,final_figure,0.0713,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\forecast_2026_full_year_plot.png,reviewer_package/outputs/figures/forecast_2026_full_year_plot.png,final_figure,0.2967,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\forecast_2026_monthly_profile_plot.png,reviewer_package/outputs/figures/forecast_2026_monthly_profile_plot.png,final_figure,0.1185,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\forecast_2026_seasonal_pattern_plot.png,reviewer_package/outputs/figures/forecast_2026_seasonal_pattern_plot.png,final_figure,0.2048,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\forecast_2026_table3_vs_table8_comparison_plot.png,reviewer_package/outputs/figures/forecast_2026_table3_vs_table8_comparison_plot.png,final_figure,0.3497,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\monthly_rmse_plot.png,reviewer_package/outputs/figures/monthly_rmse_plot.png,final_figure,0.1435,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\residual_plot.png,reviewer_package/outputs/figures/residual_plot.png,final_figure,0.1576,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\shap_bar_final_model.png,reviewer_package/outputs/figures/shap_bar_final_model.png,final_figure,0.0793,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\shap_dependence_calendar_effects.png,reviewer_package/outputs/figures/shap_dependence_calendar_effects.png,final_figure,0.0569,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\shap_dependence_historical_profile.png,reviewer_package/outputs/figures/shap_dependence_historical_profile.png,final_figure,0.1977,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\shap_dependence_weighted_CDD.png,reviewer_package/outputs/figures/shap_dependence_weighted_CDD.png,final_figure,0.1748,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\shap_dependence_weighted_HDD.png,reviewer_package/outputs/figures/shap_dependence_weighted_HDD.png,final_figure,0.2213,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\shap_summary_final_model.png,reviewer_package/outputs/figures/shap_summary_final_model.png,final_figure,0.5294,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\reports\population_weighted_hourly_hdd_cdd.csv,reviewer_package/outputs/validation/population_weighted_hourly_hdd_cdd.csv,final_output,1.8197,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\reports\population_weighted_match_validation.txt,reviewer_package/outputs/validation/population_weighted_match_validation.txt,final_report,0.0014,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\reports\population_weighted_methodology_note.txt,reviewer_package/outputs/validation/population_weighted_methodology_note.txt,final_report,0.0008,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\reports\population_weighted_weight_validation.txt,reviewer_package/outputs/validation/population_weighted_weight_validation.txt,final_report,0.0009,explicitly selected final asset for external review
