current_path,proposed_new_path,category,size_mb,reason,compression_recommendation,safe_delete_after_backup
C:\Users\Monster\OneDrive\Masaüstü\proje2\__pycache__\talep_tahmin_tek_dosya.cpython-312.pyc,,temporary_or_cache,0.1289,cache or temporary artifact,not_needed,yes
C:\Users\Monster\OneDrive\Masaüstü\proje2\__pycache__\xgboost_nonrecursive_historical_model_c_final.cpython-312.pyc,,temporary_or_cache,0.0203,cache or temporary artifact,not_needed,yes
C:\Users\Monster\OneDrive\Masaüstü\proje2\__pycache__\xgboost_population_weighted_nonrecursive_historical_experiment.cpython-312.pyc,,temporary_or_cache,0.0173,cache or temporary artifact,not_needed,yes
C:\Users\Monster\OneDrive\Masaüstü\proje2\__pycache__\xgboost_population_weighted_pipeline.cpython-312.pyc,,temporary_or_cache,0.0373,cache or temporary artifact,not_needed,yes
C:\Users\Monster\OneDrive\Masaüstü\proje2\__pycache__\xgboost_recursive_test_2025.cpython-312.pyc,,temporary_or_cache,0.009,cache or temporary artifact,not_needed,yes
C:\Users\Monster\OneDrive\Masaüstü\proje2\__pycache__\xgboost_test_2025.cpython-312.pyc,,temporary_or_cache,0.0055,cache or temporary artifact,not_needed,yes
C:\Users\Monster\OneDrive\Masaüstü\proje2\__pycache__\xgboost_train.cpython-312.pyc,,temporary_or_cache,0.0293,cache or temporary artifact,not_needed,yes
C:\Users\Monster\OneDrive\Masaüstü\proje2\cleanup_dry_run_summary.txt,archive_full/docs/cleanup_dry_run_summary.txt,archived_experiment,0.0023,documentation not part of minimal reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\cleanup_move_plan.csv,archive_full/misc/cleanup_move_plan.csv,unknown_review_manually,0.4033,defaulted to archive_full to avoid accidental loss,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_1_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_1_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4196,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_1_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_1_model_verisi_tahminli.csv,archived_experiment,1.4203,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_2_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_2_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4196,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_2_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_2_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4198,processed dataset not in minimal reviewer package,consider_compression_if_large,no
