feature,mean_abs_shap,base_value
prev_year_mean_sqrt_by_hour_day_of_week,7.5935335,194.34295654296875
prev_year_mean_sqrt_by_hour_month,3.637643,194.34295654296875
weighted_CDD,2.1860356,194.34295654296875
weighted_HDD,1.829262,194.34295654296875
IR_prev_month,1.0880792,194.34295654296875
PMI_prev_month,0.90348184,194.34295654296875
is_holiday_window,0.88959754,194.34295654296875
day_of_year_sin,0.8742954,194.34295654296875
day_of_year_cos,0.78131926,194.34295654296875
is_public_holiday,0.71620476,194.34295654296875
prev_year_same_month_day_hour_sqrt,0.71137464,194.34295654296875
weekend,0.56046927,194.34295654296875
hour,0.5005875,194.34295654296875
day_of_week,0.4719536,194.34295654296875
day_of_week_sin,0.24710768,194.34295654296875
hour_sin,0.24051262,194.34295654296875
hour_cos,0.20211174,194.34295654296875
month_cos,0.18099037,194.34295654296875
month,0.1357249,194.34295654296875
night,0.087802164,194.34295654296875
prev_year_same_month_day_prev_hour_sqrt,0.083650135,194.34295654296875
day_of_week_cos,0.06912776,194.34295654296875
prev_year_same_month_day_seasonal_diff_24h_sqrt,0.06905052,194.34295654296875
month_sin,0.065297924,194.34295654296875
is_bridge_day,0.0076688905,194.34295654296875
