feature,importance,family
prev_4week_same_hour_day_of_week_mean,0.49637982,historical_profile
prev_7d_same_hour_mean,0.16141659,historical_profile
weekend,0.08573682,calendar
is_public_holiday,0.05236903,calendar
hist_mean_by_hour_day_of_week,0.04308216,historical_profile
month_cos,0.035257388,cyclic
is_holiday_window,0.0239877,calendar
day_of_week,0.020763604,calendar
weighted_CDD,0.017052488,weather
hist_mean_by_hour_month,0.010102259,historical_profile
day_of_year_cos,0.007368309,cyclic
day_of_year_sin,0.0070373244,cyclic
hour_cos,0.0053723715,cyclic
day_of_week_cos,0.0048191375,cyclic
weighted_HDD,0.0039663985,weather
day_of_week_sin,0.0039163865,cyclic
month,0.0036976303,calendar
night,0.0036453456,calendar
month_sin,0.0030706197,cyclic
hour_sin,0.0026194998,cyclic
prev_month_hour_mean,0.0017286299,historical_profile
prev_30d_same_hour_mean,0.0016106042,historical_profile
hour,0.0013641404,calendar
prev_month_hour_day_of_week_mean,0.0013396457,historical_profile
hist_mean_by_hour,0.0013253129,historical_profile
is_bridge_day,0.00097086275,calendar
