feature,importance
prev_year_mean_sqrt_by_hour_day_of_week,0.25027153
prev_year_mean_sqrt_by_hour_month,0.12714234
weighted_CDD,0.084235154
is_public_holiday,0.06489
night,0.0625812
day_of_week_sin,0.055978004
prev_year_same_month_day_hour_sqrt,0.05300409
weekend,0.05216314
is_holiday_window,0.037482448
weighted_HDD,0.0348466
day_of_week,0.030373447
hour,0.029051486
PMI_prev_month,0.026229009
IR_prev_month,0.018741801
day_of_year_sin,0.011685985
month_sin,0.0116063
month,0.010020913
month_cos,0.009006952
prev_year_same_month_day_prev_hour_sqrt,0.008063428
day_of_year_cos,0.0071043936
hour_sin,0.0057444386
day_of_week_cos,0.004588826
hour_cos,0.0027468074
is_bridge_day,0.001230711
prev_year_same_month_day_seasonal_diff_24h_sqrt,0.001211071
